Item,Quantity,Price(no shipping/taxes),Source,Notes,Owned/Buying
Drill Trigger,1,$3.57,https://www.aliexpress.com/item/3256806562336203.html?spm=a2g0o.cart.0.0.755738danhf7AI&mp=1&pdp_npi=5%40dis%21USD%21USD%209.39%21USD%203.57%21%21USD%203.57%21%21%21%402103146c17528271550647744ef8ea%2112000038176249576%21ct%21US%212965353747%21%211%210&_gl=1*1qs30jx*_gcl_aw*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_dc*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_au*MTM0OTQyNjgzMy4xNzUwMTkyNzY4*_ga*MjcyMzA3OTUzLjE3NTI4MjM0NjE.*_ga_VED1YSGNC7*czE3NTI4MjM0NjEkbzEkZzEkdDE3NTI4MjcwNjAkajU5JGwwJGgw,For regulating motor,Buying
CHC Pro,1,$22.42,https://www.aliexpress.com/item/3256806914810913.html?spm=a2g0o.cart.0.0.755738daw2eCeF&mp=1&pdp_npi=5%40dis%21USD%21USD%2049.83%21USD%2022.42%21%21USD%2022.42%21%21%21%402101e07217528229181472693e61f9%2112000045551090949%21ct%21US%212965353747%21%211%210&_gl=1*1s341fi*_gcl_aw*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_dc*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_au*MTM0OTQyNjgzMy4xNzUwMTkyNzY4*_ga*MjcyMzA3OTUzLjE3NTI4MjM0NjE.*_ga_VED1YSGNC7*czE3NTI4MjM0NjEkbzEkZzEkdDE3NTI4MjM1OTkkajIwJGwwJGgw,Hotend,Buying
Screw Terminal 4P,1,$2.50,https://www.aliexpress.com/item/3256807282935438.html?spm=a2g0o.cart.0.0.755738danhf7AI&mp=1&pdp_npi=5%40dis%21USD%21USD%202.59%21USD%202.50%21%21USD%202.50%21%21%21%402103146c17528271550647744ef8ea%2112000040883353771%21ct%21US%212965353747%21%211%210&_gl=1*1qs30jx*_gcl_aw*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_dc*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_au*MTM0OTQyNjgzMy4xNzUwMTkyNzY4*_ga*MjcyMzA3OTUzLjE3NTI4MjM0NjE.*_ga_VED1YSGNC7*czE3NTI4MjM0NjEkbzEkZzEkdDE3NTI4MjcwNjAkajU5JGwwJGgw,"7.62mm pitch, Power inputs",Buying
Screw Terminal 2P,1,$1.87,https://www.aliexpress.com/item/3256807282935438.html?spm=a2g0o.cart.0.0.755738danhf7AI&mp=1&pdp_npi=5%40dis%21USD%21USD%201.94%21USD%201.87%21%21USD%201.87%21%21%21%402103146c17528271550647744ef8ea%2112000040883353769%21ct%21US%212965353747%21%211%210&_gl=1*1qs30jx*_gcl_aw*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_dc*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_au*MTM0OTQyNjgzMy4xNzUwMTkyNzY4*_ga*MjcyMzA3OTUzLjE3NTI4MjM0NjE.*_ga_VED1YSGNC7*czE3NTI4MjM0NjEkbzEkZzEkdDE3NTI4MjcwNjAkajU5JGwwJGgw,"7.62mm pitch, Heater outputs",Buying
2510 24V Fan,1,$2.08,https://www.aliexpress.com/item/3256807251337149.html?spm=a2g0o.cart.0.0.755738danhf7AI&mp=1&pdp_npi=5%40dis%21USD%21USD%202.18%21USD%202.08%21%21USD%202.08%21%21%21%402103146c17528271550647744ef8ea%2112000040754390185%21ct%21US%212965353747%21%211%210&_gl=1*1qs30jx*_gcl_aw*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_dc*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_au*MTM0OTQyNjgzMy4xNzUwMTkyNzY4*_ga*MjcyMzA3OTUzLjE3NTI4MjM0NjE.*_ga_VED1YSGNC7*czE3NTI4MjM0NjEkbzEkZzEkdDE3NTI4MjcwNjAkajU5JGwwJGgw,Cools hotend,Owned
EC11 Rotary Encoder,1,$3.08,https://www.aliexpress.com/item/3256805796819763.html?spm=a2g0o.cart.0.0.755738danhf7AI&mp=1&pdp_npi=5%40dis%21USD%21USD%203.08%21USD%203.08%21%21USD%203.08%21%21%21%402103146c17528271550647744ef8ea%2112000035172713579%21ct%21US%212965353747%21%211%210&_gl=1*1gfgklc*_gcl_aw*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_dc*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_au*MTM0OTQyNjgzMy4xNzUwMTkyNzY4*_ga*MjcyMzA3OTUzLjE3NTI4MjM0NjE.*_ga_VED1YSGNC7*czE3NTI4MjM0NjEkbzEkZzEkdDE3NTI4MjcwNjAkajU5JGwwJGgw,For controlling temp,Buying
I2C OLED,1,$1.85,https://www.aliexpress.com/item/3256806179530924.html?spm=a2g0o.cart.0.0.755738danhf7AI&mp=1&pdp_npi=5%40dis%21USD%21USD%204.03%21USD%201.85%21%21USD%201.85%21%21%21%402103146c17528271550647744ef8ea%2112000036911966887%21ct%21US%212965353747%21%211%210&_gl=1*1gfgklc*_gcl_aw*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_dc*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_au*MTM0OTQyNjgzMy4xNzUwMTkyNzY4*_ga*MjcyMzA3OTUzLjE3NTI4MjM0NjE.*_ga_VED1YSGNC7*czE3NTI4MjM0NjEkbzEkZzEkdDE3NTI4MjcwNjAkajU5JGwwJGgw,"0.91in, Displays target/current temp",Buying
TO-220 Radiator,1,$1.94,https://www.aliexpress.com/item/2255800003999447.html?spm=a2g0o.cart.0.0.755738danhf7AI&mp=1&pdp_npi=5%40dis%21USD%21USD%202.01%21USD%201.94%21%21USD%201.94%21%21%21%402103146c17528271550647744ef8ea%2110000000710306628%21ct%21US%212965353747%21%211%210&_gl=1*1gfgklc*_gcl_aw*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_dc*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_au*MTM0OTQyNjgzMy4xNzUwMTkyNzY4*_ga*MjcyMzA3OTUzLjE3NTI4MjM0NjE.*_ga_VED1YSGNC7*czE3NTI4MjM0NjEkbzEkZzEkdDE3NTI4MjcwNjAkajU5JGwwJGgw,Cools mosfet,Buying
IRLZ34NPBF Mosfet,1,$3.20,https://www.aliexpress.com/item/3256808552158121.html?spm=a2g0o.cart.0.0.755738danhf7AI&mp=1&pdp_npi=5%40dis%21USD%21USD%206.97%21USD%203.20%21%21USD%203.20%21%21%21%402103146c17528271550647744ef8ea%2112000046468959878%21ct%21US%212965353747%21%211%210&_gl=1*1gfgklc*_gcl_aw*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_dc*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_au*MTM0OTQyNjgzMy4xNzUwMTkyNzY4*_ga*MjcyMzA3OTUzLjE3NTI4MjM0NjE.*_ga_VED1YSGNC7*czE3NTI4MjM0NjEkbzEkZzEkdDE3NTI4MjcwNjAkajU5JGwwJGgw,"TO-220, Regulates hotend heater",Buying
24V-12V Buck Converter,1,$4.12,https://www.aliexpress.com/item/3256805319593185.html?spm=a2g0o.cart.0.0.755738danhf7AI&mp=1&pdp_npi=5%40dis%21USD%21USD%204.12%21USD%204.12%21%21USD%204.12%21%21%21%402103146c17528271550647744ef8ea%2112000033343621926%21ct%21US%212965353747%21%211%210&_gl=1*1gfgklc*_gcl_aw*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_dc*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_au*MTM0OTQyNjgzMy4xNzUwMTkyNzY4*_ga*MjcyMzA3OTUzLjE3NTI4MjM0NjE.*_ga_VED1YSGNC7*czE3NTI4MjM0NjEkbzEkZzEkdDE3NTI4MjcwNjAkajU5JGwwJGgw,Converts battery 24V to 12V for Arduino,Buying
DC Motor,1,$13.35,https://www.aliexpress.com/item/3256807142640791.html?spm=a2g0o.cart.0.0.755738danhf7AI&mp=1&pdp_npi=5%40dis%21USD%21USD%2029.02%21USD%2013.35%21%21USD%2013.35%21%21%21%402103146c17528271595267798ef8ea%2112000040287640067%21ct%21US%212965353747%21%211%210&_gl=1*1djn14*_gcl_aw*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_dc*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_au*MTM0OTQyNjgzMy4xNzUwMTkyNzY4*_ga*MjcyMzA3OTUzLjE3NTI4MjM0NjE.*_ga_VED1YSGNC7*czE3NTI4MjM0NjEkbzEkZzEkdDE3NTI4MjcwNjAkajU5JGwwJGgw,"24V, Worm gear, 27rpm, drives extruder",Buying
Kobalt 24V Battery,1,$28.35,https://www.aliexpress.com/item/3256808341351094.html?spm=a2g0o.cart.0.0.755738danhf7AI&mp=1&pdp_npi=5%40dis%21USD%21USD%2098.74%21USD%2028.35%21%21USD%2028.35%21%21%21%402103146c17528271595267798ef8ea%2112000045570945299%21ct%21US%212965353747%21%211%210&_gl=1*1djn14*_gcl_aw*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_dc*R0NMLjE3NTE4NDcxMzYuQ2owS0NRand2YWpEQmhDTkFSSXNBRUUyOVdvb1JYN0FnSzczYmNCVXN5VHRNRGlUUjV4QXJ0RzRDSVl6Tmx5ZEZ2alByYWdRQjczVklkSWFBc3FnRUFMd193Y0I.*_gcl_au*MTM0OTQyNjgzMy4xNzUwMTkyNzY4*_ga*MjcyMzA3OTUzLjE3NTI4MjM0NjE.*_ga_VED1YSGNC7*czE3NTI4MjM0NjEkbzEkZzEkdDE3NTI4MjcwNjAkajU5JGwwJGgw,"Any Ah, mines 6.0Ah, Powers whole thing",Buying
100k Resistor,1,$1.27,https://www.aliexpress.us/item/3256805491339263.html?spm=a2g0o.productlist.main.2.5acb113dWCWHEi&algo_pvid=d885d319-e63c-46cb-9890-1f3fe4b1ec6b&algo_exp_id=d885d319-e63c-46cb-9890-1f3fe4b1ec6b-1&pdp_ext_f=%7B%22order%22%3A%221339%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.88%211.26%21%21%2113.46%219.02%21%402103247917528275691891949e5c61%2112000033982954181%21sea%21US%212965353747%21X&curPageLogUid=0ChrWbtCVhkG&utparam-url=scene%3Asearch%7Cquery_from%3A,For thermistor logic,Owned
10k Resistor,1,$1.34,https://www.aliexpress.us/item/3256805491339263.html?spm=a2g0o.productlist.main.2.5acb113dWCWHEi&algo_pvid=d885d319-e63c-46cb-9890-1f3fe4b1ec6b&algo_exp_id=d885d319-e63c-46cb-9890-1f3fe4b1ec6b-1&pdp_ext_f=%7B%22order%22%3A%221339%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.88%211.26%21%21%2113.46%219.02%21%402103247917528275691891949e5c61%2112000033982954181%21sea%21US%212965353747%21X&curPageLogUid=0ChrWbtCVhkG&utparam-url=scene%3Asearch%7Cquery_from%3A,Heater gate pulldown,Owned
220R Resistor,1,$1.35,https://www.aliexpress.us/item/3256805491339263.html?spm=a2g0o.productlist.main.2.5acb113dWCWHEi&algo_pvid=d885d319-e63c-46cb-9890-1f3fe4b1ec6b&algo_exp_id=d885d319-e63c-46cb-9890-1f3fe4b1ec6b-1&pdp_ext_f=%7B%22order%22%3A%221339%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.88%211.26%21%21%2113.46%219.02%21%402103247917528275691891949e5c61%2112000033982954181%21sea%21US%212965353747%21X&curPageLogUid=0ChrWbtCVhkG&utparam-url=scene%3Asearch%7Cquery_from%3A,Heater gate drive,Owned
